word,UR,item_type,condition,file_name
mawwa_token,mawwa,HAn,glide,mawwa_token_raw.npy
mawwe_token,mawwe,HAn,glide,mawwe_token_raw.npy
mawwo_token,mawwo,HAn,glide,mawwo_token_raw.npy
mawja_token,mawja,HAn,glide,mawja_token_raw.npy
mawje_token,mawje,HAn,glide,mawje_token_raw.npy
mawjo_token,mawjo,HAn,glide,mawjo_token_raw.npy
majwa_token,majwa,HAn,glide,majwa_token_raw.npy
majwe_token,majwe,HAn,glide,majwe_token_raw.npy
majwo_token,majwo,HAn,glide,majwo_token_raw.npy
majja_token,majja,HAn,glide,majja_token_raw.npy
majje_token,majje,HAn,glide,majje_token_raw.npy
majjo_token,majjo,HAn,glide,majjo_token_raw.npy
mewwa_token,mewwa,HAn,glide,mewwa_token_raw.npy
mewwe_token,mewwe,HAn,glide,mewwe_token_raw.npy
mewwo_token,mewwo,HAn,glide,mewwo_token_raw.npy
mewja_token,mewja,HAn,glide,mewja_token_raw.npy
mewje_token,mewje,HAn,glide,mewje_token_raw.npy
mewjo_token,mewjo,HAn,glide,mewjo_token_raw.npy
mejwa_token,mejwa,HAn,glide,mejwa_token_raw.npy
mejwe_token,mejwe,HAn,glide,mejwe_token_raw.npy
mejwo_token,mejwo,HAn,glide,mejwo_token_raw.npy
mejja_token,mejja,HAn,glide,mejja_token_raw.npy
mejje_token,mejje,HAn,glide,mejje_token_raw.npy
mejjo_token,mejjo,HAn,glide,mejjo_token_raw.npy
mowwa_token,mowwa,HAn,glide,mowwa_token_raw.npy
mowwe_token,mowwe,HAn,glide,mowwe_token_raw.npy
mowwo_token,mowwo,HAn,glide,mowwo_token_raw.npy
mowja_token,mowja,HAn,glide,mowja_token_raw.npy
mowje_token,mowje,HAn,glide,mowje_token_raw.npy
mowjo_token,mowjo,HAn,glide,mowjo_token_raw.npy
mojwa_token,mojwa,HAn,glide,mojwa_token_raw.npy
mojwe_token,mojwe,HAn,glide,mojwe_token_raw.npy
mojwo_token,mojwo,HAn,glide,mojwo_token_raw.npy
mojja_token,mojja,HAn,glide,mojja_token_raw.npy
mojje_token,mojje,HAn,glide,mojje_token_raw.npy
mojjo_token,mojjo,HAn,glide,mojjo_token_raw.npy
nawwa_token,nawwa,HAn,glide,nawwa_token_raw.npy
nawwe_token,nawwe,HAn,glide,nawwe_token_raw.npy
nawwo_token,nawwo,HAn,glide,nawwo_token_raw.npy
nawja_token,nawja,HAn,glide,nawja_token_raw.npy
nawje_token,nawje,HAn,glide,nawje_token_raw.npy
nawjo_token,nawjo,HAn,glide,nawjo_token_raw.npy
najwa_token,najwa,HAn,glide,najwa_token_raw.npy
najwe_token,najwe,HAn,glide,najwe_token_raw.npy
najwo_token,najwo,HAn,glide,najwo_token_raw.npy
najja_token,najja,HAn,glide,najja_token_raw.npy
najje_token,najje,HAn,glide,najje_token_raw.npy
najjo_token,najjo,HAn,glide,najjo_token_raw.npy
newwa_token,newwa,HAn,glide,newwa_token_raw.npy
newwe_token,newwe,HAn,glide,newwe_token_raw.npy
newwo_token,newwo,HAn,glide,newwo_token_raw.npy
newja_token,newja,HAn,glide,newja_token_raw.npy
newje_token,newje,HAn,glide,newje_token_raw.npy
newjo_token,newjo,HAn,glide,newjo_token_raw.npy
nejwa_token,nejwa,HAn,glide,nejwa_token_raw.npy
nejwe_token,nejwe,HAn,glide,nejwe_token_raw.npy
nejwo_token,nejwo,HAn,glide,nejwo_token_raw.npy
nejja_token,nejja,HAn,glide,nejja_token_raw.npy
nejje_token,nejje,HAn,glide,nejje_token_raw.npy
nejjo_token,nejjo,HAn,glide,nejjo_token_raw.npy
nowwa_token,nowwa,HAn,glide,nowwa_token_raw.npy
nowwe_token,nowwe,HAn,glide,nowwe_token_raw.npy
nowwo_token,nowwo,HAn,glide,nowwo_token_raw.npy
nowja_token,nowja,HAn,glide,nowja_token_raw.npy
nowje_token,nowje,HAn,glide,nowje_token_raw.npy
nowjo_token,nowjo,HAn,glide,nowjo_token_raw.npy
nojwa_token,nojwa,HAn,glide,nojwa_token_raw.npy
nojwe_token,nojwe,HAn,glide,nojwe_token_raw.npy
nojwo_token,nojwo,HAn,glide,nojwo_token_raw.npy
nojja_token,nojja,HAn,glide,nojja_token_raw.npy
nojje_token,nojje,HAn,glide,nojje_token_raw.npy
nojjo_token,nojjo,HAn,glide,nojjo_token_raw.npy
mavva_token,mavva,HAn,fricative,mavva_token_raw.npy
mavve_token,mavve,HAn,fricative,mavve_token_raw.npy
mavvo_token,mavvo,HAn,fricative,mavvo_token_raw.npy
mavza_token,mavza,HAn,fricative,mavza_token_raw.npy
mavze_token,mavze,HAn,fricative,mavze_token_raw.npy
mavzo_token,mavzo,HAn,fricative,mavzo_token_raw.npy
mazva_token,mazva,HAn,fricative,mazva_token_raw.npy
mazve_token,mazve,HAn,fricative,mazve_token_raw.npy
mazvo_token,mazvo,HAn,fricative,mazvo_token_raw.npy
mazza_token,mazza,HAn,fricative,mazza_token_raw.npy
mazze_token,mazze,HAn,fricative,mazze_token_raw.npy
mazzo_token,mazzo,HAn,fricative,mazzo_token_raw.npy
mevva_token,mevva,HAn,fricative,mevva_token_raw.npy
mevve_token,mevve,HAn,fricative,mevve_token_raw.npy
mevvo_token,mevvo,HAn,fricative,mevvo_token_raw.npy
mevza_token,mevza,HAn,fricative,mevza_token_raw.npy
mevze_token,mevze,HAn,fricative,mevze_token_raw.npy
mevzo_token,mevzo,HAn,fricative,mevzo_token_raw.npy
mezva_token,mezva,HAn,fricative,mezva_token_raw.npy
mezve_token,mezve,HAn,fricative,mezve_token_raw.npy
mezvo_token,mezvo,HAn,fricative,mezvo_token_raw.npy
mezza_token,mezza,HAn,fricative,mezza_token_raw.npy
mezze_token,mezze,HAn,fricative,mezze_token_raw.npy
mezzo_token,mezzo,HAn,fricative,mezzo_token_raw.npy
movva_token,movva,HAn,fricative,movva_token_raw.npy
movve_token,movve,HAn,fricative,movve_token_raw.npy
movvo_token,movvo,HAn,fricative,movvo_token_raw.npy
movza_token,movza,HAn,fricative,movza_token_raw.npy
movze_token,movze,HAn,fricative,movze_token_raw.npy
movzo_token,movzo,HAn,fricative,movzo_token_raw.npy
mozva_token,mozva,HAn,fricative,mozva_token_raw.npy
