word,UR,item_type,condition,pattern,file_name
mawwa_token,mawwa,HAn,glide,AH,mawwa_token_raw.npy
mawwa_token,mawwa,HAn,glide,SG,mawwa_token_raw.npy
mawwe_token,mawwe,HAn,glide,AH,mawwe_token_raw.npy
mawwe_token,mawwe,HAn,glide,SG,mawwe_token_raw.npy
mawwo_token,mawwo,HAn,glide,AH,mawwo_token_raw.npy
mawwo_token,mawwo,HAn,glide,SG,mawwo_token_raw.npy
mawja_token,mawja,HAn,glide,AH,mawja_token_raw.npy
mawja_token,mawja,HAn,glide,SG,mawja_token_raw.npy
mawje_token,mawje,HAn,glide,AH,mawje_token_raw.npy
mawje_token,mawje,HAn,glide,SG,mawje_token_raw.npy
mawjo_token,mawjo,HAn,glide,AH,mawjo_token_raw.npy
mawjo_token,mawjo,HAn,glide,SG,mawjo_token_raw.npy
majwa_token,majwa,HAn,glide,AH,majwa_token_raw.npy
majwa_token,majwa,HAn,glide,SG,majwa_token_raw.npy
majwe_token,majwe,HAn,glide,AH,majwe_token_raw.npy
majwe_token,majwe,HAn,glide,SG,majwe_token_raw.npy
majwo_token,majwo,HAn,glide,AH,majwo_token_raw.npy
majwo_token,majwo,HAn,glide,SG,majwo_token_raw.npy
majja_token,majja,HAn,glide,AH,majja_token_raw.npy
majja_token,majja,HAn,glide,SG,majja_token_raw.npy
majje_token,majje,HAn,glide,AH,majje_token_raw.npy
majje_token,majje,HAn,glide,SG,majje_token_raw.npy
majjo_token,majjo,HAn,glide,AH,majjo_token_raw.npy
majjo_token,majjo,HAn,glide,SG,majjo_token_raw.npy
mewwa_token,mewwa,HAn,glide,AH,mewwa_token_raw.npy
mewwa_token,mewwa,HAn,glide,SG,mewwa_token_raw.npy
mewwe_token,mewwe,HAn,glide,AH,mewwe_token_raw.npy
mewwe_token,mewwe,HAn,glide,SG,mewwe_token_raw.npy
mewwo_token,mewwo,HAn,glide,AH,mewwo_token_raw.npy
mewwo_token,mewwo,HAn,glide,SG,mewwo_token_raw.npy
mewja_token,mewja,HAn,glide,AH,mewja_token_raw.npy
mewja_token,mewja,HAn,glide,SG,mewja_token_raw.npy
mewje_token,mewje,HAn,glide,AH,mewje_token_raw.npy
mewje_token,mewje,HAn,glide,SG,mewje_token_raw.npy
mewjo_token,mewjo,HAn,glide,AH,mewjo_token_raw.npy
mewjo_token,mewjo,HAn,glide,SG,mewjo_token_raw.npy
mejwa_token,mejwa,HAn,glide,AH,mejwa_token_raw.npy
mejwa_token,mejwa,HAn,glide,SG,mejwa_token_raw.npy
mejwe_token,mejwe,HAn,glide,AH,mejwe_token_raw.npy
mejwe_token,mejwe,HAn,glide,SG,mejwe_token_raw.npy
mejwo_token,mejwo,HAn,glide,AH,mejwo_token_raw.npy
mejwo_token,mejwo,HAn,glide,SG,mejwo_token_raw.npy
mejja_token,mejja,HAn,glide,AH,mejja_token_raw.npy
mejja_token,mejja,HAn,glide,SG,mejja_token_raw.npy
mejje_token,mejje,HAn,glide,AH,mejje_token_raw.npy
mejje_token,mejje,HAn,glide,SG,mejje_token_raw.npy
mejjo_token,mejjo,HAn,glide,AH,mejjo_token_raw.npy
mejjo_token,mejjo,HAn,glide,SG,mejjo_token_raw.npy
mowwa_token,mowwa,HAn,glide,AH,mowwa_token_raw.npy
mowwa_token,mowwa,HAn,glide,SG,mowwa_token_raw.npy
mowwe_token,mowwe,HAn,glide,AH,mowwe_token_raw.npy
mowwe_token,mowwe,HAn,glide,SG,mowwe_token_raw.npy
mowwo_token,mowwo,HAn,glide,AH,mowwo_token_raw.npy
mowwo_token,mowwo,HAn,glide,SG,mowwo_token_raw.npy
mowja_token,mowja,HAn,glide,AH,mowja_token_raw.npy
mowja_token,mowja,HAn,glide,SG,mowja_token_raw.npy
mowje_token,mowje,HAn,glide,AH,mowje_token_raw.npy
mowje_token,mowje,HAn,glide,SG,mowje_token_raw.npy
mowjo_token,mowjo,HAn,glide,AH,mowjo_token_raw.npy
mowjo_token,mowjo,HAn,glide,SG,mowjo_token_raw.npy
mojwa_token,mojwa,HAn,glide,AH,mojwa_token_raw.npy
mojwa_token,mojwa,HAn,glide,SG,mojwa_token_raw.npy
mojwe_token,mojwe,HAn,glide,AH,mojwe_token_raw.npy
mojwe_token,mojwe,HAn,glide,SG,mojwe_token_raw.npy
mojwo_token,mojwo,HAn,glide,AH,mojwo_token_raw.npy
mojwo_token,mojwo,HAn,glide,SG,mojwo_token_raw.npy
mojja_token,mojja,HAn,glide,AH,mojja_token_raw.npy
mojja_token,mojja,HAn,glide,SG,mojja_token_raw.npy
mojje_token,mojje,HAn,glide,AH,mojje_token_raw.npy
mojje_token,mojje,HAn,glide,SG,mojje_token_raw.npy
mojjo_token,mojjo,HAn,glide,AH,mojjo_token_raw.npy
mojjo_token,mojjo,HAn,glide,SG,mojjo_token_raw.npy
nawwa_token,nawwa,HAn,glide,AH,nawwa_token_raw.npy
nawwa_token,nawwa,HAn,glide,SG,nawwa_token_raw.npy
nawwe_token,nawwe,HAn,glide,AH,nawwe_token_raw.npy
nawwe_token,nawwe,HAn,glide,SG,nawwe_token_raw.npy
nawwo_token,nawwo,HAn,glide,AH,nawwo_token_raw.npy
nawwo_token,nawwo,HAn,glide,SG,nawwo_token_raw.npy
nawja_token,nawja,HAn,glide,AH,nawja_token_raw.npy
nawja_token,nawja,HAn,glide,SG,nawja_token_raw.npy
nawje_token,nawje,HAn,glide,AH,nawje_token_raw.npy
nawje_token,nawje,HAn,glide,SG,nawje_token_raw.npy
nawjo_token,nawjo,HAn,glide,AH,nawjo_token_raw.npy
nawjo_token,nawjo,HAn,glide,SG,nawjo_token_raw.npy
najwa_token,najwa,HAn,glide,AH,najwa_token_raw.npy
najwa_token,najwa,HAn,glide,SG,najwa_token_raw.npy
najwe_token,najwe,HAn,glide,AH,najwe_token_raw.npy
najwe_token,najwe,HAn,glide,SG,najwe_token_raw.npy
najwo_token,najwo,HAn,glide,AH,najwo_token_raw.npy
najwo_token,najwo,HAn,glide,SG,najwo_token_raw.npy
najja_token,najja,HAn,glide,AH,najja_token_raw.npy
najja_token,najja,HAn,glide,SG,najja_token_raw.npy
najje_token,najje,HAn,glide,AH,najje_token_raw.npy
najje_token,najje,HAn,glide,SG,najje_token_raw.npy
najjo_token,najjo,HAn,glide,AH,najjo_token_raw.npy
najjo_token,najjo,HAn,glide,SG,najjo_token_raw.npy
newwa_token,newwa,HAn,glide,AH,newwa_token_raw.npy
newwa_token,newwa,HAn,glide,SG,newwa_token_raw.npy
newwe_token,newwe,HAn,glide,AH,newwe_token_raw.npy
newwe_token,newwe,HAn,glide,SG,newwe_token_raw.npy
newwo_token,newwo,HAn,glide,AH,newwo_token_raw.npy
newwo_token,newwo,HAn,glide,SG,newwo_token_raw.npy
newja_token,newja,HAn,glide,AH,newja_token_raw.npy
newja_token,newja,HAn,glide,SG,newja_token_raw.npy
newje_token,newje,HAn,glide,AH,newje_token_raw.npy
newje_token,newje,HAn,glide,SG,newje_token_raw.npy
newjo_token,newjo,HAn,glide,AH,newjo_token_raw.npy
newjo_token,newjo,HAn,glide,SG,newjo_token_raw.npy
nejwa_token,nejwa,HAn,glide,AH,nejwa_token_raw.npy
nejwa_token,nejwa,HAn,glide,SG,nejwa_token_raw.npy
nejwe_token,nejwe,HAn,glide,AH,nejwe_token_raw.npy
nejwe_token,nejwe,HAn,glide,SG,nejwe_token_raw.npy
nejwo_token,nejwo,HAn,glide,AH,nejwo_token_raw.npy
nejwo_token,nejwo,HAn,glide,SG,nejwo_token_raw.npy
nejja_token,nejja,HAn,glide,AH,nejja_token_raw.npy
nejja_token,nejja,HAn,glide,SG,nejja_token_raw.npy
nejje_token,nejje,HAn,glide,AH,nejje_token_raw.npy
nejje_token,nejje,HAn,glide,SG,nejje_token_raw.npy
nejjo_token,nejjo,HAn,glide,AH,nejjo_token_raw.npy
nejjo_token,nejjo,HAn,glide,SG,nejjo_token_raw.npy
nowwa_token,nowwa,HAn,glide,AH,nowwa_token_raw.npy
nowwa_token,nowwa,HAn,glide,SG,nowwa_token_raw.npy
nowwe_token,nowwe,HAn,glide,AH,nowwe_token_raw.npy
nowwe_token,nowwe,HAn,glide,SG,nowwe_token_raw.npy
nowwo_token,nowwo,HAn,glide,AH,nowwo_token_raw.npy
nowwo_token,nowwo,HAn,glide,SG,nowwo_token_raw.npy
nowja_token,nowja,HAn,glide,AH,nowja_token_raw.npy
nowja_token,nowja,HAn,glide,SG,nowja_token_raw.npy
nowje_token,nowje,HAn,glide,AH,nowje_token_raw.npy
nowje_token,nowje,HAn,glide,SG,nowje_token_raw.npy
nowjo_token,nowjo,HAn,glide,AH,nowjo_token_raw.npy
nowjo_token,nowjo,HAn,glide,SG,nowjo_token_raw.npy
nojwa_token,nojwa,HAn,glide,AH,nojwa_token_raw.npy
nojwa_token,nojwa,HAn,glide,SG,nojwa_token_raw.npy
nojwe_token,nojwe,HAn,glide,AH,nojwe_token_raw.npy
nojwe_token,nojwe,HAn,glide,SG,nojwe_token_raw.npy
nojwo_token,nojwo,HAn,glide,AH,nojwo_token_raw.npy
nojwo_token,nojwo,HAn,glide,SG,nojwo_token_raw.npy
nojja_token,nojja,HAn,glide,AH,nojja_token_raw.npy
nojja_token,nojja,HAn,glide,SG,nojja_token_raw.npy
nojje_token,nojje,HAn,glide,AH,nojje_token_raw.npy
nojje_token,nojje,HAn,glide,SG,nojje_token_raw.npy
nojjo_token,nojjo,HAn,glide,AH,nojjo_token_raw.npy
nojjo_token,nojjo,HAn,glide,SG,nojjo_token_raw.npy
mavva_token,mavva,HAn,fricative,AH,mavva_token_raw.npy
mavva_token,mavva,HAn,fricative,SG,mavva_token_raw.npy
mavve_token,mavve,HAn,fricative,AH,mavve_token_raw.npy
mavve_token,mavve,HAn,fricative,SG,mavve_token_raw.npy
mavvo_token,mavvo,HAn,fricative,AH,mavvo_token_raw.npy
mavvo_token,mavvo,HAn,fricative,SG,mavvo_token_raw.npy
mavza_token,mavza,HAn,fricative,AH,mavza_token_raw.npy
mavza_token,mavza,HAn,fricative,SG,mavza_token_raw.npy
mavze_token,mavze,HAn,fricative,AH,mavze_token_raw.npy
mavze_token,mavze,HAn,fricative,SG,mavze_token_raw.npy
mavzo_token,mavzo,HAn,fricative,AH,mavzo_token_raw.npy
mavzo_token,mavzo,HAn,fricative,SG,mavzo_token_raw.npy
mazva_token,mazva,HAn,fricative,AH,mazva_token_raw.npy
mazva_token,mazva,HAn,fricative,SG,mazva_token_raw.npy
mazve_token,mazve,HAn,fricative,AH,mazve_token_raw.npy
mazve_token,mazve,HAn,fricative,SG,mazve_token_raw.npy
mazvo_token,mazvo,HAn,fricative,AH,mazvo_token_raw.npy
mazvo_token,mazvo,HAn,fricative,SG,mazvo_token_raw.npy
mazza_token,mazza,HAn,fricative,AH,mazza_token_raw.npy
mazza_token,mazza,HAn,fricative,SG,mazza_token_raw.npy
mazze_token,mazze,HAn,fricative,AH,mazze_token_raw.npy
mazze_token,mazze,HAn,fricative,SG,mazze_token_raw.npy
mazzo_token,mazzo,HAn,fricative,AH,mazzo_token_raw.npy
mazzo_token,mazzo,HAn,fricative,SG,mazzo_token_raw.npy
mevva_token,mevva,HAn,fricative,AH,mevva_token_raw.npy
mevva_token,mevva,HAn,fricative,SG,mevva_token_raw.npy
mevve_token,mevve,HAn,fricative,AH,mevve_token_raw.npy
mevve_token,mevve,HAn,fricative,SG,mevve_token_raw.npy
mevvo_token,mevvo,HAn,fricative,AH,mevvo_token_raw.npy
mevvo_token,mevvo,HAn,fricative,SG,mevvo_token_raw.npy
mevza_token,mevza,HAn,fricative,AH,mevza_token_raw.npy
mevza_token,mevza,HAn,fricative,SG,mevza_token_raw.npy
mevze_token,mevze,HAn,fricative,AH,mevze_token_raw.npy
mevze_token,mevze,HAn,fricative,SG,mevze_token_raw.npy
mevzo_token,mevzo,HAn,fricative,AH,mevzo_token_raw.npy
mevzo_token,mevzo,HAn,fricative,SG,mevzo_token_raw.npy
mezva_token,mezva,HAn,fricative,AH,mezva_token_raw.npy
mezva_token,mezva,HAn,fricative,SG,mezva_token_raw.npy
mezve_token,mezve,HAn,fricative,AH,mezve_token_raw.npy
mezve_token,mezve,HAn,fricative,SG,mezve_token_raw.npy
mezvo_token,mezvo,HAn,fricative,AH,mezvo_token_raw.npy
mezvo_token,mezvo,HAn,fricative,SG,mezvo_token_raw.npy
mezza_token,mezza,HAn,fricative,AH,mezza_token_raw.npy
mezza_token,mezza,HAn,fricative,SG,mezza_token_raw.npy
mezze_token,mezze,HAn,fricative,AH,mezze_token_raw.npy
mezze_token,mezze,HAn,fricative,SG,mezze_token_raw.npy
mezzo_token,mezzo,HAn,fricative,AH,mezzo_token_raw.npy
mezzo_token,mezzo,HAn,fricative,SG,mezzo_token_raw.npy
movva_token,movva,HAn,fricative,AH,movva_token_raw.npy
movva_token,movva,HAn,fricative,SG,movva_token_raw.npy
movve_token,movve,HAn,fricative,AH,movve_token_raw.npy
movve_token,movve,HAn,fricative,SG,movve_token_raw.npy
movvo_token,movvo,HAn,fricative,AH,movvo_token_raw.npy
movvo_token,movvo,HAn,fricative,SG,movvo_token_raw.npy
movza_token,movza,HAn,fricative,AH,movza_token_raw.npy
movza_token,movza,HAn,fricative,SG,movza_token_raw.npy
movze_token,movze,HAn,fricative,AH,movze_token_raw.npy
movze_token,movze,HAn,fricative,SG,movze_token_raw.npy
movzo_token,movzo,HAn,fricative,AH,movzo_token_raw.npy
movzo_token,movzo,HAn,fricative,SG,movzo_token_raw.npy
mozva_token,mozva,HAn,fricative,AH,mozva_token_raw.npy
mozva_token,mozva,HAn,fricative,SG,mozva_token_raw.npy
mozve_token,mozve,HAn,fricative,AH,mozve_token_raw.npy
mozve_token,mozve,HAn,fricative,SG,mozve_token_raw.npy
mozvo_token,mozvo,HAn,fricative,AH,mozvo_token_raw.npy
mozvo_token,mozvo,HAn,fricative,SG,mozvo_token_raw.npy
mozza_token,mozza,HAn,fricative,AH,mozza_token_raw.npy
mozza_token,mozza,HAn,fricative,SG,mozza_token_raw.npy
mozze_token,mozze,HAn,fricative,AH,mozze_token_raw.npy
mozze_token,mozze,HAn,fricative,SG,mozze_token_raw.npy
mozzo_token,mozzo,HAn,fricative,AH,mozzo_token_raw.npy
mozzo_token,mozzo,HAn,fricative,SG,mozzo_token_raw.npy
navva_token,navva,HAn,fricative,AH,navva_token_raw.npy
navva_token,navva,HAn,fricative,SG,navva_token_raw.npy
navve_token,navve,HAn,fricative,AH,navve_token_raw.npy
navve_token,navve,HAn,fricative,SG,navve_token_raw.npy
navvo_token,navvo,HAn,fricative,AH,navvo_token_raw.npy
navvo_token,navvo,HAn,fricative,SG,navvo_token_raw.npy
navza_token,navza,HAn,fricative,AH,navza_token_raw.npy
navza_token,navza,HAn,fricative,SG,navza_token_raw.npy
navze_token,navze,HAn,fricative,AH,navze_token_raw.npy
navze_token,navze,HAn,fricative,SG,navze_token_raw.npy
navzo_token,navzo,HAn,fricative,AH,navzo_token_raw.npy
navzo_token,navzo,HAn,fricative,SG,navzo_token_raw.npy
nazva_token,nazva,HAn,fricative,AH,nazva_token_raw.npy
nazva_token,nazva,HAn,fricative,SG,nazva_token_raw.npy
nazve_token,nazve,HAn,fricative,AH,nazve_token_raw.npy
nazve_token,nazve,HAn,fricative,SG,nazve_token_raw.npy
nazvo_token,nazvo,HAn,fricative,AH,nazvo_token_raw.npy
nazvo_token,nazvo,HAn,fricative,SG,nazvo_token_raw.npy
nazza_token,nazza,HAn,fricative,AH,nazza_token_raw.npy
nazza_token,nazza,HAn,fricative,SG,nazza_token_raw.npy
nazze_token,nazze,HAn,fricative,AH,nazze_token_raw.npy
nazze_token,nazze,HAn,fricative,SG,nazze_token_raw.npy
nazzo_token,nazzo,HAn,fricative,AH,nazzo_token_raw.npy
nazzo_token,nazzo,HAn,fricative,SG,nazzo_token_raw.npy
nevva_token,nevva,HAn,fricative,AH,nevva_token_raw.npy
nevva_token,nevva,HAn,fricative,SG,nevva_token_raw.npy
nevve_token,nevve,HAn,fricative,AH,nevve_token_raw.npy
nevve_token,nevve,HAn,fricative,SG,nevve_token_raw.npy
nevvo_token,nevvo,HAn,fricative,AH,nevvo_token_raw.npy
nevvo_token,nevvo,HAn,fricative,SG,nevvo_token_raw.npy
nevza_token,nevza,HAn,fricative,AH,nevza_token_raw.npy
nevza_token,nevza,HAn,fricative,SG,nevza_token_raw.npy
nevze_token,nevze,HAn,fricative,AH,nevze_token_raw.npy
nevze_token,nevze,HAn,fricative,SG,nevze_token_raw.npy
nevzo_token,nevzo,HAn,fricative,AH,nevzo_token_raw.npy
nevzo_token,nevzo,HAn,fricative,SG,nevzo_token_raw.npy
nezva_token,nezva,HAn,fricative,AH,nezva_token_raw.npy
nezva_token,nezva,HAn,fricative,SG,nezva_token_raw.npy
nezve_token,nezve,HAn,fricative,AH,nezve_token_raw.npy
nezve_token,nezve,HAn,fricative,SG,nezve_token_raw.npy
nezvo_token,nezvo,HAn,fricative,AH,nezvo_token_raw.npy
nezvo_token,nezvo,HAn,fricative,SG,nezvo_token_raw.npy
nezza_token,nezza,HAn,fricative,AH,nezza_token_raw.npy
nezza_token,nezza,HAn,fricative,SG,nezza_token_raw.npy
nezze_token,nezze,HAn,fricative,AH,nezze_token_raw.npy
nezze_token,nezze,HAn,fricative,SG,nezze_token_raw.npy
nezzo_token,nezzo,HAn,fricative,AH,nezzo_token_raw.npy
nezzo_token,nezzo,HAn,fricative,SG,nezzo_token_raw.npy
novva_token,novva,HAn,fricative,AH,novva_token_raw.npy
novva_token,novva,HAn,fricative,SG,novva_token_raw.npy
novve_token,novve,HAn,fricative,AH,novve_token_raw.npy
novve_token,novve,HAn,fricative,SG,novve_token_raw.npy
novvo_token,novvo,HAn,fricative,AH,novvo_token_raw.npy
novvo_token,novvo,HAn,fricative,SG,novvo_token_raw.npy
novza_token,novza,HAn,fricative,AH,novza_token_raw.npy
novza_token,novza,HAn,fricative,SG,novza_token_raw.npy
novze_token,novze,HAn,fricative,AH,novze_token_raw.npy
novze_token,novze,HAn,fricative,SG,novze_token_raw.npy
novzo_token,novzo,HAn,fricative,AH,novzo_token_raw.npy
novzo_token,novzo,HAn,fricative,SG,novzo_token_raw.npy
nozva_token,nozva,HAn,fricative,AH,nozva_token_raw.npy
nozva_token,nozva,HAn,fricative,SG,nozva_token_raw.npy
nozve_token,nozve,HAn,fricative,AH,nozve_token_raw.npy
nozve_token,nozve,HAn,fricative,SG,nozve_token_raw.npy
nozvo_token,nozvo,HAn,fricative,AH,nozvo_token_raw.npy
nozvo_token,nozvo,HAn,fricative,SG,nozvo_token_raw.npy
nozza_token,nozza,HAn,fricative,AH,nozza_token_raw.npy
nozza_token,nozza,HAn,fricative,SG,nozza_token_raw.npy
nozze_token,nozze,HAn,fricative,AH,nozze_token_raw.npy
nozze_token,nozze,HAn,fricative,SG,nozze_token_raw.npy
nozzo_token,nozzo,HAn,fricative,AH,nozzo_token_raw.npy
nozzo_token,nozzo,HAn,fricative,SG,nozzo_token_raw.npy
wawwa_token,wawwa,HAo,glide,AH,wawwa_token_raw.npy
wawwa_token,wawwa,HAo,glide,SG,wawwa_token_raw.npy
wawwe_token,wawwe,HAo,glide,AH,wawwe_token_raw.npy
wawwe_token,wawwe,HAo,glide,SG,wawwe_token_raw.npy
wawwo_token,wawwo,HAo,glide,AH,wawwo_token_raw.npy
wawwo_token,wawwo,HAo,glide,SG,wawwo_token_raw.npy
wawja_token,wawja,HAo,glide,AH,wawja_token_raw.npy
wawja_token,wawja,HAo,glide,SG,wawja_token_raw.npy
wawje_token,wawje,HAo,glide,AH,wawje_token_raw.npy
wawje_token,wawje,HAo,glide,SG,wawje_token_raw.npy
wawjo_token,wawjo,HAo,glide,AH,wawjo_token_raw.npy
wawjo_token,wawjo,HAo,glide,SG,wawjo_token_raw.npy
wajwa_token,wajwa,HAo,glide,AH,wajwa_token_raw.npy
wajwa_token,wajwa,HAo,glide,SG,wajwa_token_raw.npy
wajwe_token,wajwe,HAo,glide,AH,wajwe_token_raw.npy
wajwe_token,wajwe,HAo,glide,SG,wajwe_token_raw.npy
wajwo_token,wajwo,HAo,glide,AH,wajwo_token_raw.npy
wajwo_token,wajwo,HAo,glide,SG,wajwo_token_raw.npy
wajja_token,wajja,HAo,glide,AH,wajja_token_raw.npy
wajja_token,wajja,HAo,glide,SG,wajja_token_raw.npy
